wage,education,n_kids
3.1,11,2
3.2,12,3
3,11,2
6,8,0
5.3,12,1
8.8,16,0
11.2,18,0
5,12,0
3.6,12,2
18.2,17,0
6.2,16,0
8.1,13,0
8.8,12,2
5.5,12,0
22.2,12,1
17.3,16,1
7.5,12,0
10.6,13,0
3.6,12,3
4.5,12,0
6.9,12,0
8.5,12,3
6.3,16,0
0.5,12,0
6,11,0
9.6,16,1
7.8,16,1
12.5,16,0
12.5,15,2
3.2,8,2
13,14,2
4.5,14,2
9.7,13,0
5,12,0
4.7,12,0
4.3,16,1
6.2,12,1
3.5,4,5
3,14,0
6.2,12,0
7.8,12,0
10,12,4
4.5,14,1
4,11,0
6.4,13,0
13.7,15,2
1.7,10,1
2.9,12,1
3.7,14,0
2.9,12,2
1.6,12,2
8.6,16,0
5,12,1
6,12,0
2.5,12,2
3.2,15,1
3.4,16,1
10,8,0
21.6,18,0
4.4,16,0
11.7,13,0
12.4,14,0
6.2,10,0
3.7,10,4
7.8,14,0
20,14,2
6.2,16,3
10,12,3
5.7,16,1
2,12,4
5.7,16,0
13.1,17,3
4.9,12,2
2.9,12,2
3.8,12,0
11.9,13,2
4,12,1
3.1,12,1
8.4,12,4
7.1,18,2
4.5,9,4
4.7,16,0
2.9,10,1
6.7,12,0
3.5,12,1
3.3,12,1
3.2,12,1
8,12,1
9.9,8,2
7.5,12,1
5.9,12,2
11.8,14,0
3,12,2
4.8,12,0
6.5,12,0
4,9,1
3.5,13,1
13.2,12,0
4.2,14,2
3.5,12,0
5.1,15,0
3.8,12,3
4.5,12,0
7.6,12,0
15,14,1
6.8,15,2
13.3,12,2
6.7,12,0
2.5,12,0
9.8,17,0
3.4,11,0
25,18,0
5.4,12,0
6.1,14,2
4.2,14,0
3.8,10,0
3.5,14,0
3.6,12,0
3.8,15,1
3,8,3
5,16,0
4.6,14,2
3,15,0
3.2,12,1
3.9,18,2
6.4,16,2
5.5,10,0
1.5,8,0
2.9,10,2
5,11,0
8.9,18,0
5,15,0
3.5,12,0
2.9,11,1
4.5,12,3
2.2,12,2
5,14,4
10,16,2
3.8,2,0
10,14,0
10.9,16,4
7.9,12,0
4.7,12,0
5.8,13,1
3.8,12,3
3.2,15,2
2,10,5
4.5,12,3
11.6,16,3
2.1,13,0
2.4,9,5
3.8,12,1
5.5,13,0
6.5,12,0
3.1,12,1
10,14,2
6.6,16,0
10,16,0
2.3,9,5
6.9,18,0
2.8,10,4
3.1,10,1
8,13,1
4.5,12,0
8.6,18,0
2,13,0
4.8,12,0
6.2,13,1
6,13,2
15.4,13,2
14.6,18,0
12.5,12,0
5.2,12,2
2.2,13,1
7.1,12,0
6.2,12,1
9,12,0
10,14,0
5.8,10,0
4,12,2
8.8,16,1
6.5,16,0
7.6,12,0
5,14,0
5,12,0
21.9,12,3
8.6,12,0
3.3,12,1
4.4,12,0
4.6,12,0
3.5,12,0
6.2,16,1
3.8,16,0
6.2,14,0
2.9,11,3
6.2,16,0
6.2,12,0
9.1,12,3
10,17,0
11.1,12,0
6.9,12,3
8.8,16,0
10,8,0
3,12,2
3,12,0
5.8,12,2
4.1,16,0
8,12,1
6.2,12,0
2.7,9,1
2.8,13,1
3,16,0
3,14,0
7.4,8,3
7.5,14,1
3.5,13,3
8.1,12,1
3.8,18,1
3.2,9,1
5.8,8,0
3.5,8,3
3.3,12,0
4,14,0
3.5,12,2
6.2,16,0
3,8,1
5.7,13,0
3,9,0
22.9,16,2
9,12,0
8.3,15,1
3,11,0
5.8,14,0
6.8,12,2
10,12,2
3,12,0
3.5,18,0
3.2,12,0
4,12,0
2.9,12,1
3.1,12,3
3.2,12,1
4.8,12,3
3,14,4
18.2,16,1
3.5,12,2
4.1,14,0
2,11,0
4.3,12,0
3,10,0
6.4,12,0
5.2,6,0
4.5,13,0
3.9,12,3
3.5,10,2
10.9,12,0
4.1,14,0
3,13,0
5.9,12,2
18,18,0
4,12,0
3,12,0
3.5,12,1
3,12,2
8.8,12,0
2.9,8,1
6.3,13,0
3.5,13,0
4.6,14,0
6,12,2
2.9,10,1
5.6,16,0
4,12,0
6,16,0
4.5,12,2
2.9,14,0
4.3,18,0
18.9,17,2
4.3,13,2
4.6,14,0
6.2,15,2
3,14,0
8.8,12,0
8.5,8,0
3.8,12,4
3.2,12,0
5,8,0
6.5,12,3
2,9,3
4.8,12,0
5.8,16,2
3.2,12,0
4.7,16,0
4.1,12,0
2.9,12,0
6,13,4
3.6,10,0
4,6,6
7,12,1
3,12,0
6.1,16,0
8.6,12,1
3,8,0
3.8,12,1
2.9,6,0
3,4,0
6.2,11,0
3.5,11,2
3,7,3
3.2,12,2
8,18,1
3.3,12,1
5.2,16,0
6.2,12,3
3.5,14,1
3,12,1
3,10,2
4.7,10,0
3.7,9,1
4,10,0
4,12,2
2.9,12,2
3,12,1
5.1,10,0
13.9,16,0
18.2,16,1
6.2,16,0
5.2,12,0
4.8,12,3
3.3,7,1
3,8,1
8.4,16,0
5.7,16,0
12,18,2
3.5,13,0
4.2,10,1
7,16,1
6,14,2
12.2,16,0
4.5,12,0
3,9,2
2.9,11,2
15,11,0
4,12,0
5.2,11,2
4,12,3
3.3,12,2
5.1,12,3
3.6,12,0
5,14,2
4.6,14,0
12.5,18,0
3.5,12,0
4.6,12,0
10,12,0
2.9,11,1
4.5,12,0
6.5,17,0
7.5,16,0
3.5,13,0
4.2,13,2
3.5,12,0
4.5,14,0
3.3,14,0
2.9,11,2
5.2,10,1
4.1,8,0
3.8,14,3
3.4,12,1
3,10,1
6.3,17,1
2.5,9,1
4.5,12,1
3.1,12,1
6.4,14,0
4.7,16,0
6.8,12,2
8.5,10,0
4.2,0,0
3.8,14,0
11.1,15,2
3.3,16,2
9.1,12,3
4.5,11,2
3,11,1
8.8,12,0
4.1,13,0
2.9,12,0
3.3,13,2
6.1,16,0
3,15,0
4.2,16,1
5.6,15,2
10,12,0
12.5,18,1
3.8,6,4
3.1,6,5
4.3,12,2
10.9,12,0
7.5,16,1
4.1,9,1
4.7,12,3
5,11,0
2.9,10,2
8,12,1
8.4,8,3
2.9,9,0
6.2,17,0
6.2,16,2
5.1,11,0
4,10,1
4.4,8,3
6.9,13,0
5.4,14,1
3,13,1
2.9,11,2
6.2,7,0
4.3,16,0
3.2,12,2
7.3,13,0
6.3,14,2
5.6,16,0
8.8,14,1
3.2,11,0
3,8,0
3,14,0
12.5,17,3
2.9,10,3
3.3,12,0
6.5,12,0
10.4,18,1
4.5,14,0
10,18,0
3.8,12,2
8.8,16,0
9.4,14,2
6.3,12,2
4,9,0
2.9,12,0
20,12,1
11.2,17,1
3.5,12,2
6,15,2
14.4,17,1
6.4,16,1
3.5,12,1
3,15,0
4.5,16,1
6.6,12,0
9.3,15,0
3,12,2
3.2,12,0
1.5,12,2
5.9,12,1
8,16,0
2.9,11,1
3.3,14,0
6.5,14,0
4,13,1
6,14,0
4.1,12,0
3.8,12,0
3,8,0
3.5,12,0
2.9,3,0
4.5,11,0
3.3,15,2
5.9,11,1
8,12,2
3,4,1
5,9,6
5.5,12,1
2.7,12,0
3,11,2
4.5,12,0
17.5,16,3
8.2,13,0
9.1,15,1
11.8,16,0
3.2,12,0
4.5,12,0
4.5,12,0
3.7,9,2
6.5,10,3
2.9,12,0
5.6,11,2
2.2,8,4
5,6,3
8.3,16,0
2.9,12,4
6.2,12,3
4.6,16,0
3.3,12,0
2.3,10,4
3.3,13,0
3.2,13,4
12.5,14,0
5.2,16,0
3.1,10,2
7.2,12,3
2.9,12,0
1.8,11,2
2.9,0,2
2.9,5,5
17.7,16,1
6.2,16,0
2.6,9,1
6.6,15,2
3.5,12,1
6.5,12,3
3,12,0
4.4,13,1
10,12,1
4.9,7,5
9,17,2
1.4,12,2
3.1,12,0
9.3,14,3
7.5,12,2
4.8,13,0
5.7,12,0
15,16,2
2.3,10,3
4.7,15,3
11.6,16,0
3.5,14,2
