id,attendance,treatment,grade
1,91.69,FALSE,87.75
2,69.55,TRUE,60.42
3,47.98,TRUE,18.16
4,98.37,FALSE,86.13
5,66.1,TRUE,47.56
6,64.24,TRUE,40.06
7,84.5,FALSE,84.29
8,84.11,FALSE,70.7
9,84.36,FALSE,85.07
10,88.44,FALSE,86.51
11,83.12,FALSE,65.72
12,89.63,FALSE,78.77
13,87.11,FALSE,70.64
14,73.95,TRUE,59.62
15,51.83,TRUE,16.57
16,77.21,TRUE,62.16
17,83.61,FALSE,80.57
18,88.68,FALSE,80.57
19,87.83,FALSE,82.1
20,72.57,TRUE,70.11
21,83.32,FALSE,74.19
22,82.58,FALSE,71.1
23,65.37,TRUE,48.25
24,86.08,FALSE,81.54
25,93.72,FALSE,86.06
26,62.52,TRUE,32.57
27,89.9,FALSE,84.03
28,75.48,TRUE,74.94
29,88.96,FALSE,81.23
30,47.42,TRUE,20.72
31,83.1,FALSE,76.09
32,86.28,FALSE,76.45
33,83.47,FALSE,82.28
34,95,FALSE,85.47
35,91.32,FALSE,74.97
36,97.81,FALSE,84.97
37,92.86,FALSE,83.48
38,80.33,FALSE,66.42
39,82.96,FALSE,56.93
40,90.36,FALSE,70.41
41,88.05,FALSE,83.54
42,80.11,FALSE,67.53
43,89.59,FALSE,84.91
44,89.31,FALSE,92.42
45,90.74,FALSE,80.86
46,92.1,FALSE,85.1
47,83.79,FALSE,77.07
48,83.41,FALSE,69.12
49,96.08,FALSE,82.38
50,84.6,FALSE,67.56
51,90.76,FALSE,82.65
52,89.81,FALSE,85.73
53,78.13,TRUE,63.87
54,62.82,TRUE,40.48
55,29.04,TRUE,3.94
56,87.07,FALSE,80.53
57,91.23,FALSE,80.54
58,75.84,TRUE,66.29
59,85.77,FALSE,77.92
60,75.33,TRUE,63.38
61,91.05,FALSE,85.79
62,68.23,TRUE,54.19
63,75.06,TRUE,62.92
64,82.8,FALSE,72.84
65,81.46,FALSE,69.7
66,60.62,TRUE,37.05
67,77.97,TRUE,67.62
68,93.27,FALSE,92.96
69,80.69,FALSE,49.84
70,78.39,TRUE,71.44
71,78.26,TRUE,71.25
72,93.12,FALSE,88.98
73,78.32,TRUE,71.01
74,55.05,TRUE,35.35
75,59.31,TRUE,35.26
76,63.15,TRUE,46.58
