treat,age,educ,race,married,nodegree,re74,re75,re78
1,37,11,black,1,1,0,0,9930.046
1,22,9,hispan,0,1,0,0,3595.894
1,30,12,black,0,0,0,0,24909.45
1,27,11,black,0,1,0,0,7506.146
1,33,8,black,0,1,0,0,289.7899
1,22,9,black,0,1,0,0,4056.494
1,23,12,black,0,0,0,0,0
1,32,11,black,0,1,0,0,8472.158
1,22,16,black,0,0,0,0,2164.022
1,33,12,white,1,0,0,0,12418.07
1,19,9,black,0,1,0,0,8173.908
1,21,13,black,0,0,0,0,17094.64
1,18,8,black,0,1,0,0,0
1,27,10,black,1,1,0,0,18739.93
1,17,7,black,0,1,0,0,3023.879
1,19,10,black,0,1,0,0,3228.503
1,27,13,black,0,0,0,0,14581.86
1,23,10,black,0,1,0,0,7693.4
1,40,12,black,0,0,0,0,10804.32
1,26,12,black,0,0,0,0,10747.35
1,23,11,black,0,1,0,0,0
1,41,14,white,0,0,0,0,5149.501
1,38,9,white,0,1,0,0,6408.95
1,24,11,black,0,1,0,0,1991.4
1,18,10,black,0,1,0,0,11163.17
1,29,11,black,1,1,0,0,9642.999
1,25,11,black,0,1,0,0,9897.049
1,27,10,hispan,0,1,0,0,11142.87
1,17,10,black,0,1,0,0,16218.04
1,24,11,black,0,1,0,0,995.7002
1,17,10,black,0,1,0,0,0
1,48,4,black,0,1,0,0,6551.592
1,25,11,black,1,1,0,0,1574.424
1,20,12,black,0,0,0,0,0
1,25,12,black,0,0,0,0,3191.753
1,42,14,black,0,0,0,0,20505.93
1,25,5,black,0,1,0,0,6181.88
1,23,12,black,1,0,0,0,5911.551
1,46,8,black,1,1,0,0,3094.156
1,24,10,black,0,1,0,0,0
1,21,12,black,0,0,0,0,1254.582
1,19,9,white,0,1,0,0,13188.83
1,17,8,black,0,1,0,0,8061.485
1,18,8,hispan,1,1,0,0,2787.96
1,20,11,black,0,1,0,0,3972.54
1,25,11,black,1,1,0,0,0
1,17,8,black,0,1,0,0,0
1,17,9,black,0,1,0,0,0
1,25,5,black,0,1,0,0,12187.41
1,23,12,black,0,0,0,0,4843.176
1,28,8,black,0,1,0,0,0
1,31,11,black,1,1,0,0,8087.487
1,18,11,black,0,1,0,0,0
1,25,12,black,0,0,0,0,2348.973
1,30,11,black,1,1,0,0,590.7818
1,17,10,black,0,1,0,0,0
1,37,9,black,0,1,0,0,1067.506
1,41,4,black,1,1,0,0,7284.986
1,42,14,black,1,0,0,0,13167.52
1,22,11,white,0,1,0,0,1048.432
1,17,8,black,0,1,0,0,0
1,29,8,black,0,1,0,0,1923.938
1,35,10,black,0,1,0,0,4666.236
1,27,11,black,0,1,0,0,549.2984
1,29,4,black,0,1,0,0,762.9146
1,28,9,black,0,1,0,0,10694.29
1,27,11,black,0,1,0,0,0
1,23,7,white,0,1,0,0,0
1,45,5,black,1,1,0,0,8546.715
1,29,13,black,0,0,0,0,7479.656
1,27,9,black,0,1,0,0,0
1,46,13,black,0,0,0,0,647.2046
1,18,6,black,0,1,0,0,0
1,25,12,black,0,0,0,0,11965.81
1,28,15,black,0,0,0,0,9598.541
1,25,11,white,0,1,0,0,18783.35
1,22,12,black,0,0,0,0,18678.08
1,21,9,black,0,1,0,0,0
1,40,11,black,0,1,0,0,23005.6
1,22,11,black,0,1,0,0,6456.697
1,25,12,black,0,0,0,0,0
1,18,12,black,0,0,0,0,2321.107
1,38,12,white,0,0,0,0,4941.849
1,27,13,black,0,0,0,0,0
1,27,8,black,0,1,0,0,0
1,38,11,black,0,1,0,0,0
1,23,8,hispan,0,1,0,0,3881.284
1,26,11,black,0,1,0,0,17230.96
1,21,12,white,0,0,0,0,8048.603
1,25,8,black,0,1,0,0,0
1,31,11,black,1,1,0,0,14509.93
1,17,10,black,0,1,0,0,0
1,25,11,black,0,1,0,0,0
1,21,12,black,0,0,0,0,9983.784
1,44,11,black,0,1,0,0,0
1,25,12,white,0,0,0,0,5587.503
1,18,9,black,0,1,0,0,4482.845
1,42,12,black,0,0,0,0,2456.153
1,25,10,black,0,1,0,0,0
1,31,9,hispan,0,1,0,0,26817.6
1,24,10,black,0,1,0,0,0
1,26,10,black,0,1,0,0,9265.788
1,25,11,black,0,1,0,0,485.2298
1,18,11,black,0,1,0,0,4814.627
1,19,11,black,0,1,0,0,7458.105
1,43,9,black,0,1,0,0,0
1,27,13,black,0,0,0,0,34099.28
1,17,9,black,0,1,0,0,1953.268
1,30,11,black,0,1,0,0,0
1,26,10,black,1,1,2027.999,0,0
1,20,9,black,0,1,6083.994,0,8881.665
1,17,9,hispan,0,1,445.1704,74.34345,6210.67
1,20,12,black,0,0,989.2678,165.2077,0
1,18,11,black,0,1,858.2543,214.5636,929.8839
1,27,12,black,1,0,3670.872,334.0493,0
1,21,12,white,0,0,3670.872,334.0494,12558.02
1,27,12,black,0,0,2143.413,357.9499,22163.25
1,20,12,black,0,0,0,377.5686,1652.637
1,19,10,black,0,1,0,385.2741,8124.715
1,23,12,black,0,0,5506.308,501.0741,671.3318
1,29,14,black,0,0,0,679.6734,17814.98
1,18,10,black,0,1,0,798.9079,9737.154
1,19,9,black,0,1,0,798.9079,17685.18
1,27,13,white,1,0,9381.566,853.7225,0
1,18,11,white,0,1,3678.231,919.5579,4321.705
1,27,9,black,1,1,0,934.4454,1773.423
1,22,12,black,0,0,5605.852,936.1773,0
1,23,10,black,1,1,0,936.4386,11233.26
1,23,12,hispan,0,0,9385.74,1117.439,559.4432
1,20,11,black,0,1,3637.498,1220.836,1085.44
1,17,9,black,0,1,1716.509,1253.439,5445.2
1,28,11,black,0,1,0,1284.079,60307.93
1,26,11,black,1,1,0,1392.853,1460.36
1,20,11,black,0,1,16318.62,1484.994,6943.342
1,24,11,black,1,1,824.3886,1666.113,4032.708
1,31,9,black,0,1,0,1698.607,10363.27
1,23,8,white,1,1,0,1713.15,4232.309
1,18,10,black,0,1,2143.411,1784.274,11141.39
1,29,12,black,0,0,10881.94,1817.284,0
1,26,11,white,0,1,0,2226.266,13385.86
1,24,9,black,0,1,9154.7,2288.675,4849.559
1,25,12,black,0,0,14426.79,2409.274,0
1,24,10,black,0,1,4250.402,2421.947,1660.508
1,46,8,black,0,1,3165.658,2594.723,0
1,31,12,white,0,0,0,2611.218,2484.549
1,19,11,black,0,1,2305.026,2615.276,4146.603
1,19,8,black,0,1,0,2657.057,9970.681
1,27,11,black,0,1,2206.94,2666.274,0
1,26,11,black,1,1,0,2754.646,26372.28
1,20,10,black,0,1,5005.731,2777.355,5615.189
1,28,10,black,0,1,0,2836.506,3196.571
1,24,12,black,0,0,13765.75,2842.764,6167.681
1,19,8,black,0,1,2636.353,2937.264,7535.942
1,23,12,black,0,0,6269.341,3039.96,8484.239
1,42,9,black,1,1,0,3058.531,1294.409
1,25,13,black,0,0,12362.93,3090.732,0
1,18,9,black,0,1,0,3287.375,5010.342
1,21,12,black,0,0,6473.683,3332.409,9371.037
1,27,10,black,0,1,1001.146,3550.075,0
1,21,8,black,0,1,989.2678,3695.897,4279.613
1,22,9,black,0,1,2192.877,3836.986,3462.564
1,31,4,black,0,1,8517.589,4023.211,7382.549
1,24,10,black,1,1,11703.2,4078.152,0
1,29,10,black,0,1,0,4398.95,0
1,29,12,black,0,0,9748.387,4878.937,10976.51
1,19,10,white,0,1,0,5324.109,13829.62
1,19,11,hispan,1,1,5424.485,5463.803,6788.463
1,31,9,black,0,1,10717.03,5517.841,9558.501
1,22,10,black,1,1,1468.348,5588.664,13228.28
1,21,9,black,0,1,6416.47,5749.331,743.6666
1,17,10,black,0,1,1291.468,5793.852,5522.788
1,26,12,black,1,0,8408.762,5794.831,1424.944
1,20,9,hispan,0,1,12260.78,5875.049,1358.643
1,19,10,black,0,1,4121.949,6056.754,0
1,26,10,black,0,1,25929.68,6788.958,672.8773
1,28,11,black,0,1,1929.029,6871.856,0
1,22,12,hispan,1,0,492.2305,7055.702,10092.83
1,33,11,black,0,1,0,7867.916,6281.433
1,22,12,white,0,0,6759.994,8455.504,12590.71
1,29,10,hispan,0,1,0,8853.674,5112.014
1,33,12,black,1,0,20279.95,10941.35,15952.6
1,25,14,black,1,0,35040.07,11536.57,36646.95
1,35,9,black,1,1,13602.43,13830.64,12803.97
1,35,8,black,1,1,13732.07,17976.15,3786.628
1,33,11,black,1,1,14660.71,25142.24,4181.942
0,30,12,white,1,0,20166.73,18347.23,25564.67
0,26,12,white,1,0,25862.32,17806.55,25564.67
0,25,16,white,1,0,25862.32,15316.21,25564.67
0,42,11,white,1,1,21787.05,14265.29,15491.01
0,25,9,black,1,1,14829.69,13776.53,0
0,37,9,black,1,1,13685.48,12756.05,17833.2
0,32,12,white,1,0,19067.58,12625.35,14146.28
0,20,12,black,0,0,7392.314,12396.19,17765.23
0,38,9,hispan,1,1,16826.18,12029.18,0
0,39,10,white,1,1,16767.41,12022.02,4433.18
0,41,5,white,1,1,10785.76,11991.58,19451.31
0,31,14,white,1,0,17831.29,11563.69,22094.97
0,34,8,white,1,1,8038.872,11404.35,5486.799
0,29,12,white,1,0,14768.95,11146.55,6420.722
0,22,14,black,1,0,748.4399,11105.37,18208.55
0,42,0,hispan,1,1,2797.833,10929.92,9922.934
0,25,9,hispan,0,1,5460.477,10589.76,7539.361
0,28,9,white,1,1,11091.41,10357.02,15406.78
0,40,13,white,1,0,3577.621,10301.52,11911.95
0,35,9,white,1,1,11475.43,9397.403,11087.38
0,27,10,hispan,1,1,15711.36,9098.419,17023.41
0,27,6,hispan,1,1,7831.189,9071.565,5661.171
0,36,12,white,1,0,25535.12,8695.597,21905.82
0,47,8,black,1,1,9275.169,8543.419,0
